room_type,availability_365,host_is_superhost,cleaning_fee,cost_per_one_night,property_type,accommodates,cancellation_policy,host_identity_verified,bedrooms,number_of_reviews,city,beds,security_deposit,zipcode,minimum_nights,bathroom_per_person,latitude,longitude,bedroom_per_person,price
0.0,156.0,0.0,0.0,200,0.0,4.0,1.0,1.0,2.0,4.0,0.0,2.0,250.0,2026.0,1.0,0.25,-33.89444008,151.2694536,0.5,200.0
1.0,0.0,0.0,10.0,59,15.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,150.0,2022.0,1.0,2.0,-33.89628267,151.2459962,1.0,59.0
0.0,0.0,0.0,20.0,63,0.0,6.0,0.0,0.0,2.0,0.0,0.0,3.0,300.0,2026.0,3.0,0.16666666666666666,-33.88457987,151.2784203,0.3333333333333333,189.0
0.0,87.0,0.0,90.0,83,0.0,4.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2026.0,3.0,0.25,-33.88277493,151.2783841,0.25,250.0
1.0,0.0,0.0,0.0,14,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,2022.0,5.0,1.0,-33.88981957,151.2538764,1.0,74.0
0.0,0.0,0.0,0.0,180,0.0,4.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,2026.0,1.0,0.25,-33.88576321,151.2776638,0.5,180.0
0.0,0.0,0.0,0.0,20,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2026.0,10.0,0.5,-33.88683497,151.2776534,0.5,200.0
1.0,0.0,0.0,0.0,139,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2026.0,1.0,0.5,-33.89411395,151.2685383,0.5,139.0
1.0,0.0,1.0,0.0,55,0.0,1.0,0.0,1.0,1.0,13.0,0.0,1.0,500.0,2022.0,1.0,1.0,-33.89197678,151.2523207,1.0,55.0
0.0,0.0,0.0,30.0,50,0.0,2.0,1.0,1.0,1.0,12.0,0.0,1.0,0.0,2026.0,3.0,0.5,-33.88773563,151.2798412,0.5,150.0
1.0,83.0,0.0,0.0,20,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2026.0,4.0,1.5,-33.88999851,151.2681802,1.0,80.0
0.0,2.0,0.0,90.0,69,0.0,4.0,2.0,0.0,2.0,0.0,0.0,2.0,500.0,2026.0,3.0,0.25,-33.88765747,151.2754496,0.5,207.0
0.0,0.0,0.0,40.0,195,0.0,2.0,1.0,0.0,1.0,19.0,0.0,1.0,0.0,2026.0,1.0,0.5,-33.88975389,151.2720321,0.5,195.0
1.0,88.0,0.0,15.0,50,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2026.0,1.0,1.0,-33.89067824,151.2621198,1.0,50.0
0.0,3.0,0.0,0.0,40,0.0,2.0,2.0,0.0,2.0,7.0,0.0,1.0,0.0,2026.0,4.0,0.5,-33.89195888,151.2695607,1.0,160.0
1.0,318.0,1.0,20.0,80,15.0,2.0,2.0,1.0,1.0,25.0,0.0,1.0,0.0,2022.0,1.0,0.75,-33.89235899,151.2442444,0.5,80.0
1.0,365.0,0.0,55.0,109,0.0,2.0,2.0,1.0,1.0,14.0,0.0,1.0,0.0,2026.0,1.0,0.5,-33.8868032,151.2795991,0.5,109.0
2.0,69.0,0.0,0.0,27,13.0,8.0,2.0,1.0,1.0,11.0,0.0,8.0,0.0,2026.0,1.0,0.25,-33.89114579,151.2739091,0.125,27.0
1.0,19.0,0.0,0.0,16,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2026.0,4.0,0.5,-33.8962963,151.2719578,0.5,67.0
1.0,0.0,0.0,0.0,78,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2026.0,1.0,0.5,-33.89505774,151.2664281,0.5,78.0
0.0,0.0,1.0,105.0,94,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,150.0,2026.0,2.0,0.5,-33.89562727,151.2699865,0.5,189.0
